================================================================================
动销品管理记录 - 2026-01-14
表名: ROA1_DE
记录时间: 2026-01-15 20:01:39
================================================================================

【统计信息】
日期：2026-01-14
前一天上升期：1个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：1个（选定日期Status=1的数量）
差值：1个
非上升期：226个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【新增上升期商品ID】
商品数量: 1个
goods_id: 604251883428774

【上升期商品】
商品数量: 1个

603842787787810 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603843324699919 - 加入时间: 2025-12-18, Reason: Blocked
603844935274561 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
603864799542800 - 加入时间: 2025-10-30, Reason: Secondary_traffic_restricted
603866410118574 - 加入时间: 2025-11-16, Reason: Out_of_stock
603873926347197 - 加入时间: 2025-11-12, Reason: Out_of_stock
603876073778814 - 加入时间: 2025-11-28, Reason: Out_of_stock
603877684382034 - 加入时间: 2025-11-12, Reason: Secondary_traffic_restricted
603883589983695 - 加入时间: 2026-01-04, Reason: Secondary_traffic_restricted
603887884958738 - 加入时间: 2025-10-20, Reason: Out_of_stock
603887884968947 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603890569299268 - 加入时间: 2025-12-07, Reason: Out_of_stock
603895937992058 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
603900769836886 - 加入时间: 2025-12-11, Reason: Secondary_traffic_restricted
603920097212273 - 加入时间: 2025-11-09, Reason: Out_of_stock
603920634066692 - 加入时间: 2025-11-08, Reason: Out_of_stock
603926539659598 - 加入时间: 2025-11-05, Reason: Out_of_stock
603930834633362 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603937813921958 - 加入时间: 2025-12-15, Reason: Secondary_traffic_restricted
603945867014438 - 加入时间: 2025-11-02, Reason: Blocked
603948014481578 - 加入时间: 2025-10-21, Reason: None
603952309497527 - 加入时间: 2025-11-09, Reason: Blocked (Children)
603959288771937 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603960899385563 - 加入时间: 2025-11-23, Reason: Out_of_stock
603965731233222 - 加入时间: 2025-11-10, Reason: Out_of_stock
603980226775238 - 加入时间: 2025-10-26, Reason: Out_of_stock
603980763603470 - 加入时间: 2025-11-26, Reason: Out_of_stock
603982374234761 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603984521694963 - 加入时间: 2025-12-20, Reason: None
603989353542181 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603993648527387 - 加入时间: 2025-10-28, Reason: Out_of_stock
603993648550742 - 加入时间: 2025-10-30, Reason: None
