================================================================================
动销品管理记录 - 2025-11-10
表名: ROA1_FR
记录时间: 2025-12-19 10:46:57
================================================================================

【统计信息】
日期：2025-11-10
前一天上升期：32个
计算上升期：17个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：17个（选定日期Status=1的数量）
差值：0个
非上升期：121个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：16个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603523886455184

【！！！由上升期到非上升期商品ID】
商品数量: 16个
goods_id: 603304843140287, 603326318000762, 603379468218204, 603418391343943, 603528718302167, 603636092482087, 603725213087312, 603741856069157, 603826144811342, 603839566603049, 604181553361271, 604252084791138, 604342614646731, 604349593941184, 604369458154449, 604376974334612

【上升期商品】
商品数量: 17个

604192827609043 - 加入时间: 2025-11-21, Reason: None
604194438219378 - 加入时间: 2025-10-12, Reason: None
604196585701718 - 加入时间: 2025-10-25, Reason: None
604248662223803 - 加入时间: 2025-11-04, Reason: None
604252084791138 - 加入时间: 2025-11-09, Reason: None
604252420329023 - 加入时间: 2025-12-13, Reason: None
604257788988741 - 加入时间: 2025-12-02, Reason: None
604272284556593 - 加入时间: 2025-10-29, Reason: None
604286444531879 - 加入时间: 2025-11-27, Reason: None
604294564667794 - 加入时间: 2025-12-11, Reason: None
604295906869250 - 加入时间: 2025-11-28, Reason: None
604299664916995 - 加入时间: 2025-10-06, Reason: None
604306644269235 - 加入时间: 2025-11-26, Reason: None
604330803489759 - 加入时间: 2025-11-30, Reason: None
604342614646731 - 加入时间: 2025-11-04, Reason: None
604349593941184 - 加入时间: 2025-10-27, Reason: None
604369458154449 - 加入时间: 2025-11-07, Reason: None
604376974334612 - 加入时间: 2025-10-28, Reason: None
604378048090207 - 加入时间: 2025-12-13, Reason: None

================================================================================
