================================================================================
动销品管理记录 - 2026-01-27
表名: ROA1_FR
记录时间: 2026-01-28 15:02:00
================================================================================

【统计信息】
日期：2026-01-27
前一天上升期：3个
计算上升期：3个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：3个（选定日期Status=1的数量）
差值：0个
非上升期：446个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：1个
！！！由上升期到非上升期：2个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603614080792249

【由非上升期重回上升期商品ID】
商品数量: 1个
goods_id: 603517444021618

【！！！由上升期到非上升期商品ID】
商品数量: 2个
goods_id: 603512075325776, 604043577549363
603566299303772 - 加入时间: 2025-12-29, Reason: Secondary_traffic_restricted
603567373003260 - 加入时间: 2026-01-27, Reason: Secondary_traffic_restricted (0127)
603568983650530 - 加入时间: 2025-11-28, Reason: None
603571131100345 - 加入时间: 2025-12-24, Reason: None
603573278600559 - 加入时间: 2025-12-20, Reason: Secondary_traffic_restricted
603577573559272 - 加入时间: 2026-01-05, Reason: None
603578110472736 - 加入时间: 2025-12-26, Reason: Secondary_traffic_restricted
603578647329891 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603581331696782 - 加入时间: 2026-01-04, Reason: Out_of_stock
603585089756787 - 加入时间: 2025-11-18, Reason: None
603585089761580 - 加入时间: 2025-11-30, Reason: None
603585626610202 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
603587237261455 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603588311003574 - 加入时间: 2025-11-07, Reason: None
603590995342927 - 加入时间: 2026-01-27, Reason: Secondary_traffic_restricted (0127)
603593679695418 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603599585305781 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
603604954007030 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603605490860706 - 加入时间: 2025-11-25, Reason: Out_of_stock
603606564630599 - 加入时间: 2026-01-05, Reason: Secondary_traffic_restricted
603607369903574 - 加入时间: 2025-12-12, Reason: Normal (Blocking_0126)
603607369907741 - 加入时间: 2026-01-12, Reason: None
603607369934273 - 加入时间: 2025-10-21, Reason: Secondary_traffic_restricted
603607839658953 - 加入时间: 2026-01-10, Reason: Secondary_traffic_restricted
603613007061098 - 加入时间: 2025-11-30, Reason: Secondary_traffic_restricted
603614617687123 - 加入时间: 2025-12-29, Reason: Blocked
603621596958913 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted (0127)
603621597002191 - 加入时间: 2025-12-12, Reason: Blocked
603625019557210 - 加入时间: 2025-11-30, Reason: None
603628039436553 - 加入时间: 2025-12-28, Reason: None
603629113167233 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
603635018785356 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
603635555641004 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603636092482087 - 加入时间: 2025-11-03, Reason: Normal (Blocking_0127)
603637166236785 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603639850620540 - 加入时间: 2026-01-07, Reason: Normal (Blocking_0127)
603641461207901 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603641998051661 - 加入时间: 2025-12-04, Reason: None
603645219321780 - 加入时间: 2025-12-18, Reason: None
603646494401375 - 加入时间: 2026-01-04, Reason: Secondary_traffic_restricted
603649514279178 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603653272362294 - 加入时间: 2026-01-08, Reason: Secondary_traffic_restricted
603655956718955 - 加入时间: 2025-12-05, Reason: Normal (0127)
603662936035097 - 加入时间: 2025-11-30, Reason: None
603664546651681 - 加入时间: 2025-10-27, Reason: Secondary_traffic_restricted
603666694163632 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603667969206469 - 加入时间: 2025-11-15, Reason: None
603667969208939 - 加入时间: 2025-11-20, Reason: None
603669378501858 - 加入时间: 2026-01-03, Reason: Secondary_traffic_restricted
603669378515544 - 加入时间: 2025-10-16, Reason: Secondary_traffic_restricted
603675820949278 - 加入时间: 2025-12-28, Reason: Secondary_traffic_restricted
603675820957205 - 加入时间: 2025-12-28, Reason: Secondary_traffic_restricted
603677431530137 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted (Blocked)
603679579072654 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603682800258594 - 加入时间: 2025-12-12, Reason: None
603683874007320 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603685484647721 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603688705828335 - 加入时间: 2026-01-20, Reason: None
603688705862923 - 加入时间: 2026-01-12, Reason: Secondary_traffic_restricted (Disagree_0117)
603688705867107 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603693000844849 - 加入时间: 2026-01-22, Reason: Secondary_traffic_restricted (0127)
603693269278525 - 加入时间: 2025-10-22, Reason: Secondary_traffic_restricted
603694611440288 - 加入时间: 2025-12-21, Reason: Secondary_traffic_restricted (0127)
603697295763211 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603701590757140 - 加入时间: 2026-01-09, Reason: Secondary_traffic_restricted (0127)
603703738228572 - 加入时间: 2025-12-18, Reason: None
603703738265433 - 加入时间: 2025-11-27, Reason: Secondary_traffic_restricted
603710918875079 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603713938761175 - 加入时间: 2025-12-27, Reason: Secondary_traffic_restricted (0127)
603715549393446 - 加入时间: 2025-10-01, Reason: Secondary_traffic_restricted
603718770615507 - 加入时间: 2025-11-05, Reason: Out_of_stock
603720381250504 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603721991872556 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603724676178475 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603724676210333 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603725213087312 - 加入时间: 2025-11-06, Reason: Out_of_stock
603726286796911 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
603728098744336 - 加入时间: 2025-12-16, Reason: Secondary_traffic_restricted
603732192426303 - 加入时间: 2025-12-18, Reason: None
603733266112553 - 加入时间: 2026-01-09, Reason: Secondary_traffic_restricted
603737561118299 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603741856069157 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603744540424544 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
603746151066216 - 加入时间: 2026-01-21, Reason: Secondary_traffic_restricted (0127)
603752593502907 - 加入时间: 2026-01-20, Reason: Secondary_traffic_restricted (0127)
603753130341076 - 加入时间: 2025-12-17, Reason: Secondary_traffic_restricted (0127)
603754740945428 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603759572788612 - 加入时间: 2025-12-27, Reason: Secondary_traffic_restricted (0127)
603761183451960 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603764941521519 - 加入时间: 2025-12-14, Reason: None
603766015289520 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603769236470667 - 加入时间: 2025-10-05, Reason: Secondary_traffic_restricted
603772457724971 - 加入时间: 2025-12-28, Reason: Secondary_traffic_restricted
603775678955772 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
603780292666097 - 加入时间: 2025-12-06, Reason: None
603788563854650 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603791785064203 - 加入时间: 2025-12-21, Reason: Secondary_traffic_restricted (0127)
603794469433356 - 加入时间: 2026-01-14, Reason: Secondary_traffic_restricted (0127)
603796080060064 - 加入时间: 2025-10-17, Reason: Secondary_traffic_restricted
603797690616473 - 加入时间: 2025-11-29, Reason: Out_of_stock
603798227523550 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
603799301236566 - 加入时间: 2026-01-18, Reason: None
603802522504043 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603804669942505 - 加入时间: 2025-12-03, Reason: None
603804669944160 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603810038655291 - 加入时间: 2025-10-08, Reason: None
603810575545905 - 加入时间: 2026-01-24, Reason: Secondary_traffic_restricted (0127)
603814333647328 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
603814333649735 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603815407395298 - 加入时间: 2026-01-16, Reason: Secondary_traffic_restricted (0127)
603819165514994 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603826144811342 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603826144815871 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
603829902874128 - 加入时间: 2025-12-30, Reason: Secondary_traffic_restricted
603830708197698 - 加入时间: 2025-10-14, Reason: Out_of_stock
603832050387405 - 加入时间: 2025-10-30, Reason: Out_of_stock
603832587277145 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted (0127)
603839566603049 - 加入时间: 2025-10-30, Reason: Out_of_stock
603843324676669 - 加入时间: 2025-10-18, Reason: None
603843324684159 - 加入时间: 2025-12-23, Reason: None
603852451502298 - 加入时间: 2025-11-24, Reason: Blocked
603852988344315 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603855135832468 - 加入时间: 2025-12-21, Reason: Secondary_traffic_restricted (0127)
603855672696910 - 加入时间: 2025-11-23, Reason: Out_of_stock
603856209563238 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603856209591024 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted (Blocked)
603861242736334 - 加入时间: 2025-12-30, Reason: None
603862115124648 - 加入时间: 2026-01-18, Reason: Secondary_traffic_restricted (0127)
603862115170954 - 加入时间: 2026-01-08, Reason: Secondary_traffic_restricted
603863188873441 - 加入时间: 2025-11-17, Reason: Secondary_traffic_restricted (Blocking)
603863725750664 - 加入时间: 2025-12-04, Reason: Out_of_stock
603866410126687 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603868020731510 - 加入时间: 2026-01-08, Reason: None
603869094498716 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603870168243092 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603871778824182 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603876073778575 - 加入时间: 2025-11-28, Reason: Normal (Blocking_0126)
603881979390112 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603881979403687 - 加入时间: 2025-12-10, Reason: Normal (0127)
603886274359715 - 加入时间: 2025-12-19, Reason: None
603890032430793 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603907212299642 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603907749172779 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
603908822947976 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
603916607536937 - 加入时间: 2026-01-04, Reason: Secondary_traffic_restricted
603919560361540 - 加入时间: 2025-12-03, Reason: Out_of_stock
603920097184255 - 加入时间: 2025-12-22, Reason: None
603921707807135 - 加入时间: 2025-10-02, Reason: Out_of_stock
603924929028446 - 加入时间: 2025-10-19, Reason: None
603925667229462 - 加入时间: 2025-11-25, Reason: None
603926539638802 - 加入时间: 2025-12-05, Reason: Out_of_stock
603928150248642 - 加入时间: 2025-12-16, Reason: None
603930834644952 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603930834665228 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603942847110632 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603946403858914 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603948551362845 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603951235698172 - 加入时间: 2025-12-11, Reason: None
603952309499990 - 加入时间: 2025-12-11, Reason: Out_of_stock
603955530687776 - 加入时间: 2026-01-01, Reason: Secondary_traffic_restricted
603958215022335 - 加入时间: 2025-11-02, Reason: Out_of_stock
603960899398102 - 加入时间: 2025-10-30, Reason: Secondary_traffic_restricted
603961436300788 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603967878718093 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603967878735526 - 加入时间: 2025-12-01, Reason: Normal (0127)
603968147146093 - 加入时间: 2025-10-10, Reason: Secondary_traffic_restricted
603968147152623 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603968616919417 - 加入时间: 2025-11-20, Reason: None
603971099954365 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603972710538783 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603973247460591 - 加入时间: 2026-01-06, Reason: Secondary_traffic_restricted (0127)
603973784304925 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603974321163920 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603993111644331 - 加入时间: 2025-12-01, Reason: None
603993648542732 - 加入时间: 2026-01-06, Reason: Secondary_traffic_restricted
