================================================================================
动销品管理记录 - 2025-12-19
表名: ROA1_IT
记录时间: 2026-01-13 16:50:30
================================================================================

【统计信息】
日期：2025-12-19
前一天上升期：21个
计算上升期：21个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：21个（选定日期Status=1的数量）
差值：0个
非上升期：605个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：4个
！！！由上升期到非上升期：5个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603340813518315

【由非上升期重回上升期商品ID】
商品数量: 4个
goods_id: 603372270760802, 603505095979799, 603640387440388, 603889495573287

【！！！由上升期到非上升期商品ID】
商品数量: 5个
goods_id: 603617838903271, 603728434306468, 603798227500003, 603971636823743, 604256715296309

【上升期商品】
商品数量: 21个

603593461583315 - 加入时间: 2026-01-05, Reason: None
603595290307890 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603595827189707 - 加入时间: 2025-10-21, Reason: Secondary_traffic_restricted
603599048385130 - 加入时间: 2025-12-02, Reason: None
603599048418955 - 加入时间: 2025-11-18, Reason: Out_of_stock
603600122141570 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603602269618501 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603602269642587 - 加入时间: 2025-10-22, Reason: None
603602806504885 - 加入时间: 2025-12-21, Reason: None
603603880230467 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
603610859536539 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603611396440550 - 加入时间: 2025-11-30, Reason: None
603612134626667 - 加入时间: 2025-12-06, Reason: Out_of_stock
603612134665546 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603613007071179 - 加入时间: 2025-11-18, Reason: None
603613007077120 - 加入时间: 2025-12-13, Reason: Secondary_traffic_restricted
603613543926116 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603615691416738 - 加入时间: 2025-11-17, Reason: None
603617838903271 - 加入时间: 2025-12-10, Reason: None
603618912646038 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603619986362723 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603619986401661 - 加入时间: 2025-12-17, Reason: None
603629314516046 - 加入时间: 2026-01-07, Reason: None
603633944987544 - 加入时间: 2025-12-14, Reason: None
603633944993329 - 加入时间: 2025-10-12, Reason: None
603633945019286 - 加入时间: 2025-12-03, Reason: None
603634481857013 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
603635018782322 - 加入时间: 2025-10-09, Reason: Secondary_traffic_restricted
603638239968369 - 加入时间: 2025-12-11, Reason: None
603638776869804 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603639850610005 - 加入时间: 2025-12-19, Reason: None
603641461186839 - 加入时间: 2025-10-13, Reason: Secondary_traffic_restricted
603641461213529 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603641729619235 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603642199435868 - 加入时间: 2025-11-16, Reason: None
603644682437657 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603647366776861 - 加入时间: 2025-12-02, Reason: None
603652198616179 - 加入时间: 2025-10-27, Reason: Secondary_traffic_restricted
603653272341329 - 加入时间: 2025-12-03, Reason: Out_of_stock
603653272362468 - 加入时间: 2025-10-18, Reason: Secondary_traffic_restricted
603653272394424 - 加入时间: 2025-11-26, Reason: None
603654346082280 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603654346121092 - 加入时间: 2025-10-24, Reason: None
603654882976379 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603655419848569 - 加入时间: 2025-12-09, Reason: None
603656493620919 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
603657567359142 - 加入时间: 2025-10-20, Reason: Out_of_stock
603658641071462 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603660251697577 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603660788562850 - 加入时间: 2025-12-11, Reason: Secondary_traffic_restricted
603662936021787 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603662936071203 - 加入时间: 2025-12-06, Reason: None
603664546690546 - 加入时间: 2025-11-04, Reason: None
603665620420366 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
603666694163812 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603667767900073 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603671526004524 - 加入时间: 2026-01-02, Reason: None
603672599703999 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603672599744760 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
603676089372760 - 加入时间: 2025-10-29, Reason: None
603677431556579 - 加入时间: 2025-10-20, Reason: Secondary_traffic_restricted
603680115903751 - 加入时间: 2025-10-24, Reason: Out_of_stock
603680115939139 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603681189685199 - 加入时间: 2025-11-01, Reason: None
603681726541476 - 加入时间: 2025-11-17, Reason: None
603683337153590 - 加入时间: 2025-10-24, Reason: Secondary_traffic_restricted
603684410899446 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603686021502294 - 加入时间: 2025-12-03, Reason: None
603688168969889 - 加入时间: 2025-11-14, Reason: None
603689779571801 - 加入时间: 2025-12-26, Reason: None
603694074560113 - 加入时间: 2025-11-20, Reason: None
603694074562306 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603696758937458 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603697295787471 - 加入时间: 2025-12-17, Reason: None
603697832634486 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
