================================================================================
动销品管理记录 - 2026-01-11
表名: ROA1_PL
记录时间: 2026-01-19 01:44:38
================================================================================

【统计信息】
日期：2026-01-11
前一天上升期：0个
计算上升期：0个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：0个
非上升期：173个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【非上升期商品】
商品数量: 171个

603977542397423 - 加入时间: 2025-12-29, Reason: None
603978616130519 - 加入时间: 2025-10-28, Reason: Secondary_traffic_restricted
603985327009954 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
603991501023290 - 加入时间: 2025-11-25, Reason: None
603991501061623 - 加入时间: 2025-11-16, Reason: None
603992037884180 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
604003312221732 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
604019686793004 - 加入时间: 2025-10-12, Reason: None
604030692649160 - 加入时间: 2025-12-04, Reason: None
604032303223214 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
604034450744496 - 加入时间: 2025-12-30, Reason: None
604060220544293 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
604063978624758 - 加入时间: 2025-12-14, Reason: None
604068273558092 - 加入时间: 2025-12-09, Reason: Out_of_stock
604077400366398 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
604077937251408 - 加入时间: 2025-12-08, Reason: None
604078474116129 - 加入时间: 2025-11-17, Reason: Secondary_traffic_restricted
604079547900957 - 加入时间: 2025-11-08, Reason: Out_of_stock
604095654014032 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
604103170190736 - 加入时间: 2025-11-21, Reason: Out_of_stock
604104243931308 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604104243948229 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
604110686402461 - 加入时间: 2025-11-09, Reason: None
604120350074878 - 加入时间: 2025-10-09, Reason: Out_of_stock
604125718794932 - 加入时间: 2025-10-05, Reason: Secondary_traffic_restricted
604166520995242 - 加入时间: 2025-10-10, Reason: None
604167594735882 - 加入时间: 2025-12-21, Reason: None
604193364477022 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
604196585735617 - 加入时间: 2025-11-24, Reason: None
604201417546207 - 加入时间: 2025-12-18, Reason: None
604205712542613 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604205712571618 - 加入时间: 2025-10-14, Reason: Out_of_stock
604207323158368 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
604209135089771 - 加入时间: 2025-11-09, Reason: None
604214839335175 - 加入时间: 2025-12-21, Reason: None
604242219730169 - 加入时间: 2025-12-13, Reason: None
604246514712535 - 加入时间: 2025-12-17, Reason: None
604252084743154 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
604255104631844 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
604263157748929 - 加入时间: 2025-10-31, Reason: Out_of_stock
604270673918870 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
604272284507795 - 加入时间: 2025-11-14, Reason: Secondary_traffic_restricted
604273895174120 - 加入时间: 2025-11-06, Reason: None
604290001270038 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
604291611858965 - 加入时间: 2025-11-17, Reason: None
604301275581543 - 加入时间: 2025-12-13, Reason: Out_of_stock
604322750415045 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
604325434743273 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
604327582232291 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
604331340306100 - 加入时间: 2025-11-17, Reason: Secondary_traffic_restricted
604358720745791 - 加入时间: 2025-11-24, Reason: Out_of_stock
604361405073912 - 加入时间: 2025-12-08, Reason: Out_of_stock
604366236946388 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604366773835298 - 加入时间: 2025-11-17, Reason: Out_of_stock
604367310662887 - 加入时间: 2025-11-17, Reason: None
604372679412412 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
604376437474927 - 加入时间: 2025-11-30, Reason: Secondary_traffic_restricted
604389859288218 - 加入时间: 2025-12-21, Reason: None
604393080470671 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
604397375435856 - 加入时间: 2026-01-11, Reason: None

================================================================================
