================================================================================
动销品管理记录 - 2025-12-04
表名: ROA1_FR
记录时间: 2025-12-19 10:41:02
================================================================================

【统计信息】
日期：2025-12-04
前一天上升期：32个
计算上升期：38个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：38个（选定日期Status=1的数量）
差值：0个
非上升期：191个
新增上升期：6个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：9个
！！！由上升期到非上升期：9个

【新增上升期商品ID】
商品数量: 6个
goods_id: 603330076096248, 603641998051661, 603863725750664, 604085990307586, 604285169422244, 604384490581908

【由非上升期重回上升期商品ID】
商品数量: 9个
goods_id: 603382689420791, 603443892741227, 603456777635454, 603466978154121, 603635018785356, 603710918875079, 604081695352042, 604198733216324, 604257788988741

【！！！由上升期到非上升期商品ID】
商品数量: 9个
goods_id: 603368193938133, 603375173266662, 603378931336593, 603390205641872, 603417049161701, 603504559124986, 603613007061098, 603852451502298, 604030692602861

【上升期商品】
商品数量: 38个

603855672696910 - 加入时间: 2025-11-23, Reason: None
603863188873441 - 加入时间: 2025-11-17, Reason: None
603869094498716 - 加入时间: 2025-11-29, Reason: None
603876073778575 - 加入时间: 2025-11-28, Reason: None
603881979403687 - 加入时间: 2025-12-10, Reason: None
603890032430793 - 加入时间: 2025-11-22, Reason: None
603907212299642 - 加入时间: 2025-11-29, Reason: None
603907749172779 - 加入时间: 2025-11-20, Reason: None
603908822947976 - 加入时间: 2025-11-28, Reason: None
603919560361540 - 加入时间: 2025-12-03, Reason: None
603921707807135 - 加入时间: 2025-10-02, Reason: Out_of_stock
603924929028446 - 加入时间: 2025-10-19, Reason: None
603925667229462 - 加入时间: 2025-11-25, Reason: None
603942847110632 - 加入时间: 2025-11-18, Reason: None
603948551362845 - 加入时间: 2025-11-06, Reason: None
603958215022335 - 加入时间: 2025-11-02, Reason: None
603960899398102 - 加入时间: 2025-10-30, Reason: None
603967878718093 - 加入时间: 2025-12-04, Reason: None
603968147146093 - 加入时间: 2025-10-10, Reason: None
603968616919417 - 加入时间: 2025-11-20, Reason: None
603971099954365 - 加入时间: 2025-11-21, Reason: None
603972710538783 - 加入时间: 2025-11-19, Reason: None
603974321163920 - 加入时间: 2025-11-09, Reason: None
603993111644331 - 加入时间: 2025-12-01, Reason: None
604003849051640 - 加入时间: 2025-11-28, Reason: None
604004385960142 - 加入时间: 2025-11-13, Reason: None
604006533442420 - 加入时间: 2025-11-13, Reason: None
604012439032178 - 加入时间: 2025-10-21, Reason: Out_of_stock
604020492049401 - 加入时间: 2025-10-15, Reason: None
604023176450583 - 加入时间: 2025-11-14, Reason: None
604028008243528 - 加入时间: 2025-11-13, Reason: None
604030692602861 - 加入时间: 2025-11-28, Reason: None
604032840090439 - 加入时间: 2025-11-25, Reason: None
604039819425299 - 加入时间: 2025-11-06, Reason: None
604053241168853 - 加入时间: 2025-10-31, Reason: None
604061294259729 - 加入时间: 2025-11-26, Reason: None
604066662992813 - 加入时间: 2025-11-07, Reason: None
604085453462669 - 加入时间: 2025-11-28, Reason: None
604090822176179 - 加入时间: 2025-11-09, Reason: None
604091895926869 - 加入时间: 2025-12-04, Reason: None
604096190844596 - 加入时间: 2025-10-23, Reason: None
604098875251847 - 加入时间: 2025-12-01, Reason: None
604106391451468 - 加入时间: 2025-11-16, Reason: None
604107465146953 - 加入时间: 2025-11-08, Reason: None
604114981376666 - 加入时间: 2025-11-19, Reason: None
604117665731390 - 加入时间: 2025-11-24, Reason: None
604131825671535 - 加入时间: 2025-11-20, Reason: None
604143972371655 - 加入时间: 2025-11-22, Reason: None
